позиция в рейтинге,SKU,название товара,категория,количество продано,выручка,доля выручки %,накопительная доля %,ABC категория,средняя цена продажи,расчётная себестоимость (30%),валовая прибыль,маржа %
216,2694,Блуза с воротом стойка из тенсела сливовый,tops_blouses,9.0,54145.0,0.1283,49.2533,A,6016.11,16243.5,37901.5,70.0
217,2328,Джинсы-бананы молочный,pants,9.0,54120.0,0.1282,49.3815,A,6013.33,16236.0,37884.0,70.0
218,1319,Юбка трикотажная в рубчик макси шоколад,skirts,18.0,54000.0,0.1279,49.5094,A,3000.0,16200.0,37800.0,70.0
219,1160,Джемпер Сердечки нефрит,knitwear,10.0,53876.0,0.1276,49.6371,A,5387.6,16162.8,37713.2,70.0
220,2654,Джемпер Рыбка маренго с серым стандарт,knitwear,9.0,53340.0,0.1264,49.7634,A,5926.67,16002.0,37338.0,70.0
221,1238,Джемпер в рубчик укороченный лимонный,knitwear,22.0,53258.5,0.1262,49.8896,A,2420.84,15977.55,37280.95,70.0
222,2121,Пальто стеганое женское голубое,outerwear,7.0,53240.0,0.1261,50.0157,A,7605.71,15972.0,37268.0,70.0
223,2188,Юбка трикотажная прямая шерсть миди бургунди,skirts,13.0,53108.0,0.1258,50.1415,A,4085.23,15932.4,37175.6,70.0
224,2677,Пальто шерстяное двубортное на пуговицах маренго,outerwear,3.0,52875.0,0.1252,50.2667,A,17625.0,15862.5,37012.5,70.0
225,1062,Свитер базовый мужской изумруд,knitwear,12.0,52740.0,0.1249,50.3917,A,4395.0,15822.0,36918.0,70.0
226,968,Брюки льняные широкие морская волна,pants,10.0,52609.0,0.1246,50.5163,A,5260.9,15782.7,36826.3,70.0
227,141,Джемпер Джеки интерлок байкал,knitwear,10.0,52476.0,0.1243,50.6406,A,5247.6,15742.8,36733.2,70.0
228,1327,Жилет льняной серо-голубой,knitwear,13.0,52388.0,0.1241,50.7647,A,4029.85,15716.4,36671.6,70.0
229,1214,Свитер базовый круглый ворот алый,knitwear,15.0,52370.0,0.1241,50.8887,A,3491.33,15711.0,36659.0,70.0
230,746,Пиджак вискоза черный,jackets_blazers,8.0,52268.0,0.1238,51.0125,A,6533.5,15680.4,36587.6,70.0
231,2638,Пальто шерстяное утепленное двубортное на пуговицах маренго,outerwear,2.0,52200.0,0.1237,51.1362,A,26100.0,15660.0,36540.0,70.0
232,2551,Свитшот женский зеленый олива,tops_blouses,9.0,51996.0,0.1232,51.2594,A,5777.33,15598.8,36397.2,70.0
233,2572,Джемпер женский Софи изумруд,knitwear,9.0,51770.0,0.1226,51.382,A,5752.22,15531.0,36239.0,70.0
234,2676,Платье Этника трикотажное жаккард макси маренго-брусника,dresses,4.0,51750.0,0.1226,51.5046,A,12937.5,15525.0,36225.0,70.0
235,981,Джемпер Листочки двусторонний маренго-беж,knitwear,9.0,51520.0,0.122,51.6266,A,5724.44,15456.0,36064.0,70.0
236,1274,Футболка трикотажная косичка персик,tshirts_longsleeves,20.0,51190.0,0.1213,51.7479,A,2559.5,15357.0,35833.0,70.0
237,917,Тренч женский корица,outerwear,6.0,51170.0,0.1212,51.8691,A,8528.33,15351.0,35819.0,70.0
238,2469,Брюки на завязках вискоза сливочно-желтый,pants,9.0,51040.0,0.1209,51.99,A,5671.11,15312.0,35728.0,70.0
239,2663,Кардиган Оверсайз интерлок сливовый,knitwear,7.0,50540.0,0.1197,52.1097,A,7220.0,15162.0,35378.0,70.0
240,2634,Джемпер Авангард жаккард оверсайз джинс с голубым,pants,9.0,50024.0,0.1185,52.2282,A,5558.22,15007.2,35016.8,70.0
241,1070,Юбка миди атласная нефрит,skirts,15.0,50018.0,0.1185,52.3467,A,3334.53,15005.4,35012.6,70.0
242,2358,Жилет костюмный шоколадный,knitwear,9.0,49654.0,0.1176,52.4643,A,5517.11,14896.2,34757.8,70.0
243,2231,Палантин трикотажный Листочки шерсть шоколадно-бежевый,accessories,11.0,49600.0,0.1175,52.5818,A,4509.09,14880.0,34720.0,70.0
244,2200,Платье Ариэль макси искусственный шелк винный,dresses,10.0,49525.0,0.1173,52.6991,A,4952.5,14857.5,34667.5,70.0
245,1149,Джемпер Джеки интерлок серый,knitwear,10.0,49180.0,0.1165,52.8156,A,4918.0,14754.0,34426.0,70.0
246,2116,Куртка стеганая женская шоколад круглый ворот,outerwear,9.0,48986.0,0.116,52.9316,A,5442.89,14695.8,34290.2,70.0
247,753,Джинсы-бананы голубые,pants,8.0,48960.0,0.116,53.0476,A,6120.0,14688.0,34272.0,70.0
248,954,Футболка женская оверсайз с декором черная,tshirts_longsleeves,19.0,48945.0,0.1159,53.1636,A,2576.05,14683.5,34261.5,70.0
249,2416,Юбка трикотажная ажур Бриз ваниль,skirts,10.0,48870.0,0.1158,53.2793,A,4887.0,14661.0,34209.0,70.0
250,2474,Юбка трикотажная А-силуэта шерсть черный,skirts,13.0,48856.0,0.1157,53.3951,A,3758.15,14656.8,34199.2,70.0
