model_name,category,product_styles_count,combined_skus,colors_count,dominant_color,dominant_color_revenue_share_pct,qty_sold_24m,revenue_24m,revenue_share_pct,avg_realized_price_24m,estimated_cogs_24m,gross_profit_24m,margin_pct,qty_sold_12m,revenue_12m,active_months_24m,monthly_cv_pct,xyz_class,abc_class,abc_xyz_class,current_stock_qty,stock_cover_days_est_12m,stock_status,portfolio_role,recommended_action,action_note,current_sale_price_avg,cumulative_revenue_share_pct
Кардиган оверсайз интерлок,knitwear,5,"2602, 2604, 2663, 2668, 2680",5,ванильный,32.67,24.0,173840.0,0.4118,7243.33,52152.0,121688.0,70.0,24.0,173840.0,6,206.16,Y,A,AY,18.0,273.8,overstock,fashion_core,reduce_depth_keep_model,"Сильная модель с умеренной волатильностью: растить через winner-colors, а не через все варианты.",7600.0,43.6417
Манишка на завязках с воротом шерсть,accessories,7,"2224, 2232, 2246, 2277, 2318, 2327, 2412",7,горький шоколад,35.95,46.0,173708.0,0.4115,3776.26,52112.4,121595.6,70.0,17.0,59880.0,10,159.33,Y,A,AY,20.0,429.4,overstock,fashion_core,reduce_depth_keep_model,"Сильная модель с умеренной волатильностью: растить через winner-colors, а не через все варианты.",4200.0,44.0532
Футболка трикотажная ажур листочки,tshirts_longsleeves,4,"2439, 2444, 2445, 2484",4,ванильный,58.77,30.0,173422.0,0.4108,5780.73,52026.6,121395.4,70.0,30.0,173422.0,6,206.88,Y,A,AY,24.0,292.0,overstock,fashion_core,reduce_depth_keep_model,"Сильная модель с умеренной волатильностью: растить через winner-colors, а не через все варианты.",6200.0,44.464
Куртка стеганая женская олива,outerwear,1,1171,1,пыльная олива,100.0,24.0,170255.0,0.4033,7093.96,51076.5,119178.5,70.0,1.0,8200.0,8,202.96,Y,A,AY,0.0,,stockout,fashion_core,keep_winner_colors,"Сильная модель с умеренной волатильностью: растить через winner-colors, а не через все варианты.",,44.8673
Джемпер агата,knitwear,5,"2264, 2278, 2603, 2607, 2623",5,сливовый,42.49,33.0,167889.92,0.3977,5087.57,50366.98,117522.94,70.0,31.0,158090.0,9,191.05,Y,A,AY,16.0,188.4,overstock,fashion_core,reduce_depth_keep_model,"Сильная модель с умеренной волатильностью: растить через winner-colors, а не через все варианты.",5400.0,45.265
Бомбер женский серый с трикотажными резинками,outerwear,1,2573,1,серый,100.0,13.0,167820.0,0.3975,12909.23,50346.0,117474.0,70.0,13.0,167820.0,5,238.21,Y,A,AY,0.0,,stockout,fashion_core,keep_winner_colors,"Сильная модель с умеренной волатильностью: растить через winner-colors, а не через все варианты.",10360.0,45.6625
Юбка трикотажная прямая шерсть миди,skirts,7,"2188, 2195, 2196, 2245, 2249, 2266, 2708",7,бургунди-георгин,31.99,41.0,165996.0,0.3932,4048.68,49798.8,116197.2,70.0,12.0,50120.0,9,172.72,Y,A,AY,23.0,699.6,overstock,fashion_core,reduce_depth_keep_model,"Сильная модель с умеренной волатильностью: растить через winner-colors, а не через все варианты.",4800.0,46.0557
Майка трикотажная v-вырез,tops_blouses,7,"2369, 2370, 2371, 2372, 2460, 2517, 2518",6,полынь,26.61,80.0,165918.0,0.393,2073.97,49775.4,116142.6,70.0,80.0,165918.0,8,194.55,Y,A,AY,33.0,150.6,overstock,fashion_core,reduce_depth_keep_model,"Сильная модель с умеренной волатильностью: растить через winner-colors, а не через все варианты.",2200.0,46.4487
Снуд,accessories,39,"1039, 1077, 1088, 1110, 1190, 2275, 2547, 2648, 2679, 2725, 301, 302, 303, 304, 305, 306, 307, 310, 311, 314, 315, 316, 317, 318, 319, 345, 375, 382, 383, 421, 429, 489, 496, 611, 612, 634, 731, 736, 844",39,черный,9.35,344.0,165438.59,0.3919,480.93,49631.58,115807.01,70.0,167.0,76666.59,22,115.94,X,A,AX,141.0,308.2,overstock,repeat_core,reduce_depth_keep_model,Повторяемое ядро бизнеса: держать в наличии и защищать от out-of-stock.,500.0,46.8406
Пальто стеганое женское,outerwear,2,"2117, 2121",2,шоколадный,63.57,18.0,164824.0,0.3904,9156.89,49447.2,115376.8,70.0,11.0,76540.0,9,168.87,Y,A,AY,2.0,66.4,balanced,fashion_core,keep_winner_colors,"Сильная модель с умеренной волатильностью: растить через winner-colors, а не через все варианты.",6800.0,47.231
Джемпер листочки двусторонний,knitwear,5,"929, 930, 931, 932, 981",5,маренго-бежевый,31.5,30.0,163566.0,0.3875,5452.2,49069.8,114496.2,70.0,2.0,9486.0,11,162.92,Y,A,AY,0.0,,stockout,fashion_core,keep_winner_colors,"Сильная модель с умеренной волатильностью: растить через winner-colors, а не через все варианты.",,47.6185
Топ в рубчик v-вырез,tops_blouses,11,"1334, 2021, 2894, 2895, 486, 63, 66, 70, 72, 73, 93",10,белый,26.64,120.0,162454.6,0.3848,1353.79,48736.38,113718.22,70.0,49.0,47997.5,23,82.02,X,A,AX,14.0,104.3,balanced,repeat_core,protect_and_repeat,Повторяемое ядро бизнеса: держать в наличии и защищать от out-of-stock.,1900.0,48.0033
